ID,subjectID,name,shift,weekday,week,semester,students
501042_1_2023_1,'501042,Phương pháp lập trình,2,6,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52302051--52302052--52302053--52302054--52302055--52302056--52302057--52302058--52302059--52302060--52302061--52302062--52302063--52302064--52302065--52302066--52302067--52302068--52302069--52302070--52302071--52302072--52302073--52302074--52302075--52302076--52302077--52302078--52302079--52302080--52302081--52302082--52302083--52302084--52302085--52302086--52302087--52302088--52302089--52302090--52302091--52302092--52302093--52302094--52302095--52302096--52302097--52302098--52302099--52302100-
501042TH_1_2023_1,'501042TH,Thực hành phương pháp lập trình,3,4,-1-2-3-4-5-6-7-8-9-10-,hk1,-52302051--52302052--52302053--52302054--52302055--52302056--52302057--52302058--52302059--52302060--52302061--52302062--52302063--52302064--52302065--52302066--52302067--52302068--52302069--52302070--52302071--52302072--52302073--52302074--52302075--52302076--52302077--52302078--52302079--52302080--52302081--52302082--52302083--52302084--52302085--52302086--52302087--52302088--52302089--52302090--52302091--52302092--52302093--52302094--52302095--52302096--52302097--52302098--52302099--52302100-
001201_1_2023_1,'001201,Tiếng Anh 1,1,2,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21-22-23-26-27-28-,hk1,-52302051--52302052--52302053--52302054--52302055--52302056--52302057--52302058--52302059--52302060--52302061--52302062--52302063--52302064--52302065--52302066--52302067--52302068--52302069--52302070--52302071--52302072--52302073--52302074--52302075--52302076--52302077--52302078--52302079--52302080--52302081--52302082--52302083--52302084--52302085--52302086--52302087--52302088--52302089--52302090--52302091--52302092--52302093--52302094--52302095--52302096--52302097--52302098--52302099--52302100-
D01001_1_2023_2,'D01001,Bơi lội,2,6,-1-2-3-4-5-6-7-8-9-10-,hk1,-52313101--52313102--52313103--52313104--52313105--52313106--52313107--52313108--52313109--52313110--52313111--52313112--52313113--52313114--52313115--52313116--52313117--52313118--52313119--52313120--52313121--52313122--52313123--52313124--52313125--52313126--52313127--52313128--52313129--52313130--52313131--52313132--52313133--52313134--52313135--52313136--52313137--52313138--52313139--52313140--52313141--52313142--52313143--52313144--52313145--52313146--52313147--52313148--52313149--52313150-
501043_1_2023_2,'501043,Cấu trúc dữ liệu và giải thuật 1,4,7,-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-,hk1,-52313101--52313102--52313103--52313104--52313105--52313106--52313107--52313108--52313109--52313110--52313111--52313112--52313113--52313114--52313115--52313116--52313117--52313118--52313119--52313120--52313121--52313122--52313123--52313124--52313125--52313126--52313127--52313128--52313129--52313130--52313131--52313132--52313133--52313134--52313135--52313136--52313137--52313138--52313139--52313140--52313141--52313142--52313143--52313144--52313145--52313146--52313147--52313148--52313149--52313150-
501043TH_1_2023_2,'501043TH,Thực hành cấu trúc dữ liệu và giải thuật 1,2,3,-1-2-3-4-5-6-7-8-9-10-,hk1,-52313101--52313102--52313103--52313104--52313105--52313106--52313107--52313108--52313109--52313110--52313111--52313112--52313113--52313114--52313115--52313116--52313117--52313118--52313119--52313120--52313121--52313122--52313123--52313124--52313125--52313126--52313127--52313128--52313129--52313130--52313131--52313132--52313133--52313134--52313135--52313136--52313137--52313138--52313139--52313140--52313141--52313142--52313143--52313144--52313145--52313146--52313147--52313148--52313149--52313150-
501032_1_2023_2,'501032,Đại số tuyến tính cho Công nghệ thông tin,4,3,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52313101--52313102--52313103--52313104--52313105--52313106--52313107--52313108--52313109--52313110--52313111--52313112--52313113--52313114--52313115--52313116--52313117--52313118--52313119--52313120--52313121--52313122--52313123--52313124--52313125--52313126--52313127--52313128--52313129--52313130--52313131--52313132--52313133--52313134--52313135--52313136--52313137--52313138--52313139--52313140--52313141--52313142--52313143--52313144--52313145--52313146--52313147--52313148--52313149--52313150-
501032TH_1_2023_2,'501032TH,Thực hành đại số tuyến tính cho Công nghệ thông tin,2,7,-2-3-4-5-6-7-8-9-10-11-,hk1,-52313101--52313102--52313103--52313104--52313105--52313106--52313107--52313108--52313109--52313110--52313111--52313112--52313113--52313114--52313115--52313116--52313117--52313118--52313119--52313120--52313121--52313122--52313123--52313124--52313125--52313126--52313127--52313128--52313129--52313130--52313131--52313132--52313133--52313134--52313135--52313136--52313137--52313138--52313139--52313140--52313141--52313142--52313143--52313144--52313145--52313146--52313147--52313148--52313149--52313150-
501031_1_2023_2,'501031,Giải tích ứng dụng cho Công nghệ thông tin,1,4,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52313101--52313102--52313103--52313104--52313105--52313106--52313107--52313108--52313109--52313110--52313111--52313112--52313113--52313114--52313115--52313116--52313117--52313118--52313119--52313120--52313121--52313122--52313123--52313124--52313125--52313126--52313127--52313128--52313129--52313130--52313131--52313132--52313133--52313134--52313135--52313136--52313137--52313138--52313139--52313140--52313141--52313142--52313143--52313144--52313145--52313146--52313147--52313148--52313149--52313150-
501031TH_1_2023_2,'501031TH,Thực hành giải tích ứng dụng cho Công nghệ thông tin,4,6,-1-2-3-4-5-6-7-8-9-10-,hk1,-52313101--52313102--52313103--52313104--52313105--52313106--52313107--52313108--52313109--52313110--52313111--52313112--52313113--52313114--52313115--52313116--52313117--52313118--52313119--52313120--52313121--52313122--52313123--52313124--52313125--52313126--52313127--52313128--52313129--52313130--52313131--52313132--52313133--52313134--52313135--52313136--52313137--52313138--52313139--52313140--52313141--52313142--52313143--52313144--52313145--52313146--52313147--52313148--52313149--52313150-
D02030_1_2023_2,'D02030,Giáo dục quốc phòng - Học phần 3,3,6,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-28-29-30-31-32-,hk1,-52313101--52313102--52313103--52313104--52313105--52313106--52313107--52313108--52313109--52313110--52313111--52313112--52313113--52313114--52313115--52313116--52313117--52313118--52313119--52313120--52313121--52313122--52313123--52313124--52313125--52313126--52313127--52313128--52313129--52313130--52313131--52313132--52313133--52313134--52313135--52313136--52313137--52313138--52313139--52313140--52313141--52313142--52313143--52313144--52313145--52313146--52313147--52313148--52313149--52313150-
L00001_1_2023_2,'L00001,Kỹ năng phát triển bền vững,1,3,-1-2-3-4-5-,hk1,-52313101--52313102--52313103--52313104--52313105--52313106--52313107--52313108--52313109--52313110--52313111--52313112--52313113--52313114--52313115--52313116--52313117--52313118--52313119--52313120--52313121--52313122--52313123--52313124--52313125--52313126--52313127--52313128--52313129--52313130--52313131--52313132--52313133--52313134--52313135--52313136--52313137--52313138--52313139--52313140--52313141--52313142--52313143--52313144--52313145--52313146--52313147--52313148--52313149--52313150-
300014_1_2023_2,'300014,Phương pháp học đại học,3,4,-3-4-,hk1,-52313101--52313102--52313103--52313104--52313105--52313106--52313107--52313108--52313109--52313110--52313111--52313112--52313113--52313114--52313115--52313116--52313117--52313118--52313119--52313120--52313121--52313122--52313123--52313124--52313125--52313126--52313127--52313128--52313129--52313130--52313131--52313132--52313133--52313134--52313135--52313136--52313137--52313138--52313139--52313140--52313141--52313142--52313143--52313144--52313145--52313146--52313147--52313148--52313149--52313150-
501042_1_2023_2,'501042,Phương pháp lập trình,2,4,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52313101--52313102--52313103--52313104--52313105--52313106--52313107--52313108--52313109--52313110--52313111--52313112--52313113--52313114--52313115--52313116--52313117--52313118--52313119--52313120--52313121--52313122--52313123--52313124--52313125--52313126--52313127--52313128--52313129--52313130--52313131--52313132--52313133--52313134--52313135--52313136--52313137--52313138--52313139--52313140--52313141--52313142--52313143--52313144--52313145--52313146--52313147--52313148--52313149--52313150-
501042TH_1_2023_2,'501042TH,Thực hành phương pháp lập trình,3,7,-2-3-4-5-6-7-8-9-10-11-,hk1,-52313101--52313102--52313103--52313104--52313105--52313106--52313107--52313108--52313109--52313110--52313111--52313112--52313113--52313114--52313115--52313116--52313117--52313118--52313119--52313120--52313121--52313122--52313123--52313124--52313125--52313126--52313127--52313128--52313129--52313130--52313131--52313132--52313133--52313134--52313135--52313136--52313137--52313138--52313139--52313140--52313141--52313142--52313143--52313144--52313145--52313146--52313147--52313148--52313149--52313150-
001201_1_2023_2,'001201,Tiếng Anh 1,4,5,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-,hk1,-52313101--52313102--52313103--52313104--52313105--52313106--52313107--52313108--52313109--52313110--52313111--52313112--52313113--52313114--52313115--52313116--52313117--52313118--52313119--52313120--52313121--52313122--52313123--52313124--52313125--52313126--52313127--52313128--52313129--52313130--52313131--52313132--52313133--52313134--52313135--52313136--52313137--52313138--52313139--52313140--52313141--52313142--52313143--52313144--52313145--52313146--52313147--52313148--52313149--52313150-
D01001_1_2023_3,'D01001,Bơi lội,4,6,-1-2-3-4-5-6-7-8-9-10-,hk1,-52301101--52301102--52301103--52301104--52301105--52301106--52301107--52301108--52301109--52301110--52301111--52301112--52301113--52301114--52301115--52301116--52301117--52301118--52301119--52301120--52301121--52301122--52301123--52301124--52301125--52301126--52301127--52301128--52301129--52301130--52301131--52301132--52301133--52301134--52301135--52301136--52301137--52301138--52301139--52301140--52301141--52301142--52301143--52301144--52301145--52301146--52301147--52301148--52301149--52301150-
501043_1_2023_3,'501043,Cấu trúc dữ liệu và giải thuật 1,3,2,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52301101--52301102--52301103--52301104--52301105--52301106--52301107--52301108--52301109--52301110--52301111--52301112--52301113--52301114--52301115--52301116--52301117--52301118--52301119--52301120--52301121--52301122--52301123--52301124--52301125--52301126--52301127--52301128--52301129--52301130--52301131--52301132--52301133--52301134--52301135--52301136--52301137--52301138--52301139--52301140--52301141--52301142--52301143--52301144--52301145--52301146--52301147--52301148--52301149--52301150-
501043TH_1_2023_3,'501043TH,Thực hành cấu trúc dữ liệu và giải thuật 1,4,3,-1-2-3-4-5-6-7-8-9-10-,hk1,-52301101--52301102--52301103--52301104--52301105--52301106--52301107--52301108--52301109--52301110--52301111--52301112--52301113--52301114--52301115--52301116--52301117--52301118--52301119--52301120--52301121--52301122--52301123--52301124--52301125--52301126--52301127--52301128--52301129--52301130--52301131--52301132--52301133--52301134--52301135--52301136--52301137--52301138--52301139--52301140--52301141--52301142--52301143--52301144--52301145--52301146--52301147--52301148--52301149--52301150-
501032_1_2023_3,'501032,Đại số tuyến tính cho Công nghệ thông tin,1,6,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52301101--52301102--52301103--52301104--52301105--52301106--52301107--52301108--52301109--52301110--52301111--52301112--52301113--52301114--52301115--52301116--52301117--52301118--52301119--52301120--52301121--52301122--52301123--52301124--52301125--52301126--52301127--52301128--52301129--52301130--52301131--52301132--52301133--52301134--52301135--52301136--52301137--52301138--52301139--52301140--52301141--52301142--52301143--52301144--52301145--52301146--52301147--52301148--52301149--52301150-
501032TH_1_2023_3,'501032TH,Thực hành đại số tuyến tính cho Công nghệ thông tin,2,7,-2-3-4-5-6-7-8-9-10-11-,hk1,-52301101--52301102--52301103--52301104--52301105--52301106--52301107--52301108--52301109--52301110--52301111--52301112--52301113--52301114--52301115--52301116--52301117--52301118--52301119--52301120--52301121--52301122--52301123--52301124--52301125--52301126--52301127--52301128--52301129--52301130--52301131--52301132--52301133--52301134--52301135--52301136--52301137--52301138--52301139--52301140--52301141--52301142--52301143--52301144--52301145--52301146--52301147--52301148--52301149--52301150-
501031_1_2023_3,'501031,Giải tích ứng dụng cho Công nghệ thông tin,2,3,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52301101--52301102--52301103--52301104--52301105--52301106--52301107--52301108--52301109--52301110--52301111--52301112--52301113--52301114--52301115--52301116--52301117--52301118--52301119--52301120--52301121--52301122--52301123--52301124--52301125--52301126--52301127--52301128--52301129--52301130--52301131--52301132--52301133--52301134--52301135--52301136--52301137--52301138--52301139--52301140--52301141--52301142--52301143--52301144--52301145--52301146--52301147--52301148--52301149--52301150-
501031TH_1_2023_3,'501031TH,Thực hành giải tích ứng dụng cho Công nghệ thông tin,1,3,-1-2-3-4-5-6-7-8-9-10-,hk1,-52301101--52301102--52301103--52301104--52301105--52301106--52301107--52301108--52301109--52301110--52301111--52301112--52301113--52301114--52301115--52301116--52301117--52301118--52301119--52301120--52301121--52301122--52301123--52301124--52301125--52301126--52301127--52301128--52301129--52301130--52301131--52301132--52301133--52301134--52301135--52301136--52301137--52301138--52301139--52301140--52301141--52301142--52301143--52301144--52301145--52301146--52301147--52301148--52301149--52301150-
D02030_1_2023_3,'D02030,Giáo dục quốc phòng - Học phần 3,3,4,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-28-29-30-31-32-,hk1,-52301101--52301102--52301103--52301104--52301105--52301106--52301107--52301108--52301109--52301110--52301111--52301112--52301113--52301114--52301115--52301116--52301117--52301118--52301119--52301120--52301121--52301122--52301123--52301124--52301125--52301126--52301127--52301128--52301129--52301130--52301131--52301132--52301133--52301134--52301135--52301136--52301137--52301138--52301139--52301140--52301141--52301142--52301143--52301144--52301145--52301146--52301147--52301148--52301149--52301150-
L00001_1_2023_3,'L00001,Kỹ năng phát triển bền vững,2,6,-4-5-6-7-8-,hk1,-52301101--52301102--52301103--52301104--52301105--52301106--52301107--52301108--52301109--52301110--52301111--52301112--52301113--52301114--52301115--52301116--52301117--52301118--52301119--52301120--52301121--52301122--52301123--52301124--52301125--52301126--52301127--52301128--52301129--52301130--52301131--52301132--52301133--52301134--52301135--52301136--52301137--52301138--52301139--52301140--52301141--52301142--52301143--52301144--52301145--52301146--52301147--52301148--52301149--52301150-
300014_1_2023_3,'300014,Phương pháp học đại học,2,5,-4-5-,hk1,-52301101--52301102--52301103--52301104--52301105--52301106--52301107--52301108--52301109--52301110--52301111--52301112--52301113--52301114--52301115--52301116--52301117--52301118--52301119--52301120--52301121--52301122--52301123--52301124--52301125--52301126--52301127--52301128--52301129--52301130--52301131--52301132--52301133--52301134--52301135--52301136--52301137--52301138--52301139--52301140--52301141--52301142--52301143--52301144--52301145--52301146--52301147--52301148--52301149--52301150-
501042_1_2023_3,'501042,Phương pháp lập trình,4,4,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52301101--52301102--52301103--52301104--52301105--52301106--52301107--52301108--52301109--52301110--52301111--52301112--52301113--52301114--52301115--52301116--52301117--52301118--52301119--52301120--52301121--52301122--52301123--52301124--52301125--52301126--52301127--52301128--52301129--52301130--52301131--52301132--52301133--52301134--52301135--52301136--52301137--52301138--52301139--52301140--52301141--52301142--52301143--52301144--52301145--52301146--52301147--52301148--52301149--52301150-
501042TH_1_2023_3,'501042TH,Thực hành phương pháp lập trình,3,3,-1-2-3-4-5-6-7-8-9-10-,hk1,-52301101--52301102--52301103--52301104--52301105--52301106--52301107--52301108--52301109--52301110--52301111--52301112--52301113--52301114--52301115--52301116--52301117--52301118--52301119--52301120--52301121--52301122--52301123--52301124--52301125--52301126--52301127--52301128--52301129--52301130--52301131--52301132--52301133--52301134--52301135--52301136--52301137--52301138--52301139--52301140--52301141--52301142--52301143--52301144--52301145--52301146--52301147--52301148--52301149--52301150-
001201_1_2023_3,'001201,Tiếng Anh 1,3,7,-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-28-,hk1,-52301101--52301102--52301103--52301104--52301105--52301106--52301107--52301108--52301109--52301110--52301111--52301112--52301113--52301114--52301115--52301116--52301117--52301118--52301119--52301120--52301121--52301122--52301123--52301124--52301125--52301126--52301127--52301128--52301129--52301130--52301131--52301132--52301133--52301134--52301135--52301136--52301137--52301138--52301139--52301140--52301141--52301142--52301143--52301144--52301145--52301146--52301147--52301148--52301149--52301150-
D01001_1_2023_4,'D01001,Bơi lội,4,4,-1-2-3-4-5-6-7-8-9-10-,hk1,-52303051--52303052--52303053--52303054--52303055--52303056--52303057--52303058--52303059--52303060--52303061--52303062--52303063--52303064--52303065--52303066--52303067--52303068--52303069--52303070--52303071--52303072--52303073--52303074--52303075--52303076--52303077--52303078--52303079--52303080--52303081--52303082--52303083--52303084--52303085--52303086--52303087--52303088--52303089--52303090--52303091--52303092--52303093--52303094--52303095--52303096--52303097--52303098--52303099--52303100-
501043_1_2023_4,'501043,Cấu trúc dữ liệu và giải thuật 1,3,2,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52303051--52303052--52303053--52303054--52303055--52303056--52303057--52303058--52303059--52303060--52303061--52303062--52303063--52303064--52303065--52303066--52303067--52303068--52303069--52303070--52303071--52303072--52303073--52303074--52303075--52303076--52303077--52303078--52303079--52303080--52303081--52303082--52303083--52303084--52303085--52303086--52303087--52303088--52303089--52303090--52303091--52303092--52303093--52303094--52303095--52303096--52303097--52303098--52303099--52303100-
501043TH_1_2023_4,'501043TH,Thực hành cấu trúc dữ liệu và giải thuật 1,2,6,-1-2-3-4-5-6-7-8-9-10-,hk1,-52303051--52303052--52303053--52303054--52303055--52303056--52303057--52303058--52303059--52303060--52303061--52303062--52303063--52303064--52303065--52303066--52303067--52303068--52303069--52303070--52303071--52303072--52303073--52303074--52303075--52303076--52303077--52303078--52303079--52303080--52303081--52303082--52303083--52303084--52303085--52303086--52303087--52303088--52303089--52303090--52303091--52303092--52303093--52303094--52303095--52303096--52303097--52303098--52303099--52303100-
501032_1_2023_4,'501032,Đại số tuyến tính cho Công nghệ thông tin,1,7,-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-,hk1,-52303051--52303052--52303053--52303054--52303055--52303056--52303057--52303058--52303059--52303060--52303061--52303062--52303063--52303064--52303065--52303066--52303067--52303068--52303069--52303070--52303071--52303072--52303073--52303074--52303075--52303076--52303077--52303078--52303079--52303080--52303081--52303082--52303083--52303084--52303085--52303086--52303087--52303088--52303089--52303090--52303091--52303092--52303093--52303094--52303095--52303096--52303097--52303098--52303099--52303100-
501032TH_1_2023_4,'501032TH,Thực hành đại số tuyến tính cho Công nghệ thông tin,1,5,-1-2-3-4-5-6-7-8-9-10-,hk1,-52303051--52303052--52303053--52303054--52303055--52303056--52303057--52303058--52303059--52303060--52303061--52303062--52303063--52303064--52303065--52303066--52303067--52303068--52303069--52303070--52303071--52303072--52303073--52303074--52303075--52303076--52303077--52303078--52303079--52303080--52303081--52303082--52303083--52303084--52303085--52303086--52303087--52303088--52303089--52303090--52303091--52303092--52303093--52303094--52303095--52303096--52303097--52303098--52303099--52303100-
501031_1_2023_4,'501031,Giải tích ứng dụng cho Công nghệ thông tin,1,3,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52303051--52303052--52303053--52303054--52303055--52303056--52303057--52303058--52303059--52303060--52303061--52303062--52303063--52303064--52303065--52303066--52303067--52303068--52303069--52303070--52303071--52303072--52303073--52303074--52303075--52303076--52303077--52303078--52303079--52303080--52303081--52303082--52303083--52303084--52303085--52303086--52303087--52303088--52303089--52303090--52303091--52303092--52303093--52303094--52303095--52303096--52303097--52303098--52303099--52303100-
501031TH_1_2023_4,'501031TH,Thực hành giải tích ứng dụng cho Công nghệ thông tin,4,3,-1-2-3-4-5-6-7-8-9-10-,hk1,-52303051--52303052--52303053--52303054--52303055--52303056--52303057--52303058--52303059--52303060--52303061--52303062--52303063--52303064--52303065--52303066--52303067--52303068--52303069--52303070--52303071--52303072--52303073--52303074--52303075--52303076--52303077--52303078--52303079--52303080--52303081--52303082--52303083--52303084--52303085--52303086--52303087--52303088--52303089--52303090--52303091--52303092--52303093--52303094--52303095--52303096--52303097--52303098--52303099--52303100-
D02030_1_2023_4,'D02030,Giáo dục quốc phòng - Học phần 3,2,4,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-28-29-30-31-32-,hk1,-52303051--52303052--52303053--52303054--52303055--52303056--52303057--52303058--52303059--52303060--52303061--52303062--52303063--52303064--52303065--52303066--52303067--52303068--52303069--52303070--52303071--52303072--52303073--52303074--52303075--52303076--52303077--52303078--52303079--52303080--52303081--52303082--52303083--52303084--52303085--52303086--52303087--52303088--52303089--52303090--52303091--52303092--52303093--52303094--52303095--52303096--52303097--52303098--52303099--52303100-
L00001_1_2023_4,'L00001,Kỹ năng phát triển bền vững,1,6,-1-2-3-4-5-,hk1,-52303051--52303052--52303053--52303054--52303055--52303056--52303057--52303058--52303059--52303060--52303061--52303062--52303063--52303064--52303065--52303066--52303067--52303068--52303069--52303070--52303071--52303072--52303073--52303074--52303075--52303076--52303077--52303078--52303079--52303080--52303081--52303082--52303083--52303084--52303085--52303086--52303087--52303088--52303089--52303090--52303091--52303092--52303093--52303094--52303095--52303096--52303097--52303098--52303099--52303100-
300014_1_2023_4,'300014,Phương pháp học đại học,2,5,-3-4-,hk1,-52303051--52303052--52303053--52303054--52303055--52303056--52303057--52303058--52303059--52303060--52303061--52303062--52303063--52303064--52303065--52303066--52303067--52303068--52303069--52303070--52303071--52303072--52303073--52303074--52303075--52303076--52303077--52303078--52303079--52303080--52303081--52303082--52303083--52303084--52303085--52303086--52303087--52303088--52303089--52303090--52303091--52303092--52303093--52303094--52303095--52303096--52303097--52303098--52303099--52303100-
501042_1_2023_4,'501042,Phương pháp lập trình,3,4,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52303051--52303052--52303053--52303054--52303055--52303056--52303057--52303058--52303059--52303060--52303061--52303062--52303063--52303064--52303065--52303066--52303067--52303068--52303069--52303070--52303071--52303072--52303073--52303074--52303075--52303076--52303077--52303078--52303079--52303080--52303081--52303082--52303083--52303084--52303085--52303086--52303087--52303088--52303089--52303090--52303091--52303092--52303093--52303094--52303095--52303096--52303097--52303098--52303099--52303100-
501042TH_1_2023_4,'501042TH,Thực hành phương pháp lập trình,2,3,-1-2-3-4-5-6-7-8-9-10-,hk1,-52303051--52303052--52303053--52303054--52303055--52303056--52303057--52303058--52303059--52303060--52303061--52303062--52303063--52303064--52303065--52303066--52303067--52303068--52303069--52303070--52303071--52303072--52303073--52303074--52303075--52303076--52303077--52303078--52303079--52303080--52303081--52303082--52303083--52303084--52303085--52303086--52303087--52303088--52303089--52303090--52303091--52303092--52303093--52303094--52303095--52303096--52303097--52303098--52303099--52303100-
